Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
04/16/2010,IDFC Climate Change Loan,Summary of Proposed Investment,27738,Loan,IDFC LIMITED,India,IND,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Active,05/20/2010,,,75,,75,IN,01/18/2021 09:37:00 PM
04/09/2010,Aavishkaar Goodwell India Microfinance Development Company II,Summary of Proposed Investment,29594,Equity,AAVISHKAAR GOODWELL INDIA MICROFINANCE DEVELOPMENT COMPANY II LIMITED,India,IND,Infrastructure,FI,Regional Industry - FIG Asia & Pac,Active,05/28/2010,,,,15,15,IN,01/18/2021 09:37:00 PM
04/08/2010,Husk Power,Summary of Proposed Investment,29024,Loan,HUSK POWER SYSTEMS PRIVATE LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,05/10/2010,,,0.25,1,1.25,IN,01/18/2021 09:37:00 PM
04/05/2010,Cholamandalam DBS Finance Limited,Summary of Proposed Investment,28851,Equity,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,India,IND,Funds,FI,"Global Industry, Financial Markets",Completed,05/05/2010,,,,22.61,22.61,IN,01/18/2021 09:37:00 PM
03/12/2010,Suvidhaa,Summary of Proposed Investment,29408,Equity,Suvidhaa Infoserve Private Limited,India,IND,Infrastructure,C,"TMT, Venture Capital &amp; Funds",Completed,04/15/2010,,,,5,5,IN,01/18/2021 09:37:00 PM
02/18/2010,Auro Mira Energy,Summary of Proposed Investment,28504,Equity,AURO MIRA ENERGY COMPANY PRIVATE LIMITED,India,IND,Financial Institutions,B,Regional Industry - INF Asia & Pac,Active,03/25/2010,,,,7.97,7.97,IN,01/18/2021 09:37:00 PM
02/09/2010,Dewan LIS HFC,Summary of Proposed Investment,29358,Equity,AADHAR HOUSING FINANCE LIMITED,India,IND,Infrastructure,C,"Global Industry, Financial Markets",Completed,03/19/2010,,,,4.45,4.45,IN,01/18/2021 09:37:00 PM
01/25/2010,Bhilwara Energy,Summary of Proposed Investment,29157,Equity,BHILWARA ENERGY LIMITED,India,IND,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Active,03/31/2010,,,,23.9,23.9,IN,01/18/2021 09:37:00 PM
11/24/2009,Kalyani Gerdau,Summary of Proposed Investment,28611,Loan,GERDAU STEEL INDIA LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,12/24/2009,,,25,,25,IN,01/18/2021 09:37:00 PM
11/23/2009,AU Financiers,Summary of Proposed Investment,28724,Equity,AU SMALL FINANCE BANK LIMITED,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,12/24/2009,,,,7.59,7.59,IN,01/18/2021 09:37:00 PM
11/17/2009,Azure Power,Summary of Proposed Investment,28631,Equity,AZURE POWER INDIA PRIVATE LIMITED,India,IND,Financial Institutions,B,Gbl Infrastructure &amp; Natural Resources,Active,12/22/2009,,,,10,10,IN,01/18/2021 09:37:00 PM
11/10/2009,Utkarsh MFI,Summary of Proposed Investment,29056,Equity,UTKARSH COREINVEST LIMITED,India,IND,Infrastructure,FI,"Global Industry, Financial Markets",Active,12/22/2009,,,,0.3,0.3,IN,01/18/2021 09:37:00 PM
10/26/2009,VicatSagarCement,Summary of Proposed Investment,28350,Loan,KALBURGI CEMENT PRIVATE LIMITED,India,IND,Financial Institutions,A,Regional Industry - MAS Asia & Pac,Completed,12/29/2009,,,75,15,90,IN,01/18/2021 09:37:00 PM
10/02/2009,Belstar,Summary of Proposed Investment,28816,Equity,BELSTAR INVESTMENT AND FINANCE PRIVATE LIMITED,India,IND,Funds,FI,Regional Industry - FIG Asia & Pac,Completed,11/05/2009,,,,1.17,1.17,IN,01/18/2021 09:37:00 PM
